City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Albany,42.6001,-73.9662,58.17,48,100,2.04,overcast clouds,US,2022-05-02 00:43:19
1,Lebu,-37.6167,-73.65,52.45,90,0,15.1,clear sky,CL,2022-05-02 00:42:42
2,Busselton,-33.65,115.3333,65.37,73,64,2.75,broken clouds,AU,2022-05-02 00:40:57
3,Buchanan,5.8808,-10.0467,79.56,86,100,7.27,moderate rain,LR,2022-05-02 00:51:21
4,Ushuaia,-54.8,-68.3,38.86,81,20,6.91,few clouds,AR,2022-05-02 00:46:30
5,Gualdo Tadino,43.2317,12.781,46.42,86,59,2.13,broken clouds,IT,2022-05-02 00:51:22
6,Thompson,55.7435,-97.8558,26.76,86,100,12.66,overcast clouds,CA,2022-05-02 00:51:22
7,Henties Bay,-22.116,14.2845,62.76,69,0,8.66,clear sky,NA,2022-05-02 00:51:23
8,Hermanus,-34.4187,19.2345,58.8,85,27,9.37,scattered clouds,ZA,2022-05-02 00:48:24
9,Banda Aceh,5.5577,95.3222,82.31,76,100,11.27,overcast clouds,ID,2022-05-02 00:51:23
10,Victoria,22.2855,114.1577,64.26,92,100,8.99,light rain,HK,2022-05-02 00:48:31
11,Namatanai,-3.6667,152.4333,85.32,67,13,7.45,few clouds,PG,2022-05-02 00:51:24
12,Paita,-5.0892,-81.1144,67.93,83,83,13.44,broken clouds,PE,2022-05-02 00:47:27
13,Kruisfontein,-34.0033,24.7314,48.88,88,0,3.98,clear sky,ZA,2022-05-02 00:51:24
14,Necochea,-38.5473,-58.7368,51.69,61,100,8.43,overcast clouds,AR,2022-05-02 00:47:52
15,Port Alfred,-33.5906,26.891,56.17,93,5,7.38,clear sky,ZA,2022-05-02 00:41:18
16,Kaitangata,-46.2817,169.8464,62.22,63,33,4.97,scattered clouds,NZ,2022-05-02 00:51:25
17,Saint-Philippe,-21.3585,55.7679,73.22,84,0,2.89,clear sky,RE,2022-05-02 00:48:17
18,Rikitea,-23.1203,-134.9692,76.59,70,100,6.2,overcast clouds,PF,2022-05-02 00:45:37
19,Pangai,-19.8,-174.35,80.71,83,75,5.75,broken clouds,TO,2022-05-02 00:51:26
20,Upernavik,72.7868,-56.1549,-1.7,89,6,3.65,clear sky,GL,2022-05-02 00:45:46
21,Christchurch,-43.5333,172.6333,69.94,63,4,4.61,clear sky,NZ,2022-05-02 00:49:54
22,Kenai,60.5544,-151.2583,49.03,46,100,11.5,overcast clouds,US,2022-05-02 00:51:27
23,Avarua,-21.2078,-159.775,84.25,70,80,4.61,broken clouds,CK,2022-05-02 00:46:55
24,Cape Town,-33.9258,18.4232,59.11,83,0,5.01,clear sky,ZA,2022-05-02 00:46:47
25,Alingsas,57.9303,12.5335,41.45,87,86,5.41,overcast clouds,SE,2022-05-02 00:51:28
26,Punta Arenas,-53.15,-70.9167,41.11,75,0,6.91,clear sky,CL,2022-05-02 00:46:53
27,Hasaki,35.7333,140.8333,59.29,54,100,13.91,overcast clouds,JP,2022-05-02 00:51:29
28,Kefalos,36.7453,26.9589,62.82,72,20,11.5,few clouds,GR,2022-05-02 00:51:30
29,Aloleng,16.1307,119.7824,85.08,63,99,3.89,overcast clouds,PH,2022-05-02 00:51:30
30,Ponta Do Sol,32.6667,-17.1,65.01,74,0,4.12,clear sky,PT,2022-05-02 00:46:30
31,Bilibino,68.0546,166.4372,23.95,60,46,3.04,scattered clouds,RU,2022-05-02 00:51:31
32,Atuona,-9.8,-139.0333,78.37,81,100,13.0,overcast clouds,PF,2022-05-02 00:41:04
33,Bentiu,9.2333,29.8333,85.12,39,95,6.78,overcast clouds,SS,2022-05-02 00:51:31
34,Cidreira,-30.1811,-50.2056,64.69,72,100,6.64,overcast clouds,BR,2022-05-02 00:51:32
35,Bambous Virieux,-20.3428,57.7575,73.22,94,20,1.14,few clouds,MU,2022-05-02 00:51:32
36,Baykit,61.67,96.37,32.5,66,100,6.82,overcast clouds,RU,2022-05-02 00:51:33
37,Prince Rupert,54.3161,-130.3201,46.49,87,100,27.63,light rain,CA,2022-05-02 00:48:35
38,Salinas,36.6777,-121.6555,77.0,58,0,17.27,clear sky,US,2022-05-02 00:51:34
39,Cabo San Lucas,22.8909,-109.9124,87.1,61,20,13.96,few clouds,MX,2022-05-02 00:48:13
40,Atar,20.5169,-13.0499,82.49,13,0,11.21,clear sky,MR,2022-05-02 00:48:35
41,Arraial Do Cabo,-22.9661,-42.0278,75.54,82,2,12.88,clear sky,BR,2022-05-02 00:48:33
42,Valdez,1.2492,-78.9831,78.87,81,99,4.68,overcast clouds,EC,2022-05-02 00:51:35
43,Hilo,19.7297,-155.09,76.28,93,100,10.36,heavy intensity rain,US,2022-05-02 00:52:35
44,Iqaluit,63.7506,-68.5145,26.33,86,40,6.91,scattered clouds,CA,2022-05-02 00:47:53
45,Winslow,35.0242,-110.6974,77.18,6,0,28.77,clear sky,US,2022-05-02 00:52:36
46,Castro,-24.7911,-50.0119,62.89,88,100,2.15,overcast clouds,BR,2022-05-02 00:52:36
47,Tabat,-2.635,115.2274,83.82,72,79,1.32,broken clouds,ID,2022-05-02 00:52:37
48,Yarada,17.65,83.2667,84.52,89,40,5.75,mist,IN,2022-05-02 00:52:38
49,Yar-Sale,66.8333,70.8333,9.63,87,13,6.15,few clouds,RU,2022-05-02 00:48:14
50,Santiago Del Estero,-27.7951,-64.2615,61.75,45,100,3.02,overcast clouds,AR,2022-05-02 00:51:36
51,Rio Gallegos,-51.6226,-69.2181,39.25,87,0,9.22,clear sky,AR,2022-05-02 00:52:39
52,Faanui,-16.4833,-151.75,81.41,72,54,8.28,light rain,PF,2022-05-02 00:52:39
53,Xining,36.6167,101.7667,39.51,51,0,3.2,clear sky,CN,2022-05-02 00:52:40
54,Mar Del Plata,-38.0023,-57.5575,51.87,72,75,18.01,light rain,AR,2022-05-02 00:47:10
55,Mataura,-46.1927,168.8643,63.48,55,26,5.37,scattered clouds,NZ,2022-05-02 00:45:40
56,Pisco,-13.7,-76.2167,64.45,82,0,13.8,clear sky,PE,2022-05-02 00:52:40
57,Santa Isabel,-23.3156,-46.2214,74.16,86,58,2.19,broken clouds,BR,2022-05-02 00:52:41
58,Vila Do Maio,15.1333,-23.2167,70.59,80,0,14.0,clear sky,CV,2022-05-02 00:52:42
59,Turukhansk,65.8167,87.9833,27.01,90,18,11.61,few clouds,RU,2022-05-02 00:47:11
60,Nieuwpoort,51.1244,2.7735,50.14,84,100,4.61,overcast clouds,BE,2022-05-02 00:52:42
61,Fortuna,40.5982,-124.1573,60.93,73,0,13.8,clear sky,US,2022-05-02 00:48:23
62,Tasiilaq,65.6145,-37.6368,19.18,56,75,4.81,broken clouds,GL,2022-05-02 00:52:43
63,Adrar,20.5022,-10.0711,77.22,16,0,11.5,clear sky,MR,2022-05-02 00:52:43
64,Qaanaaq,77.484,-69.3632,6.3,68,19,6.46,few clouds,GL,2022-05-02 00:52:44
65,Dillon,34.4166,-79.3712,73.31,61,100,12.88,overcast clouds,US,2022-05-02 00:52:45
66,Puerto Ayora,-0.7393,-90.3518,72.41,89,59,4.76,broken clouds,EC,2022-05-02 00:47:47
67,Schieder-Schwalenberg,51.8771,9.1954,50.16,81,94,2.13,overcast clouds,DE,2022-05-02 00:52:45
68,Borogontsy,62.6683,131.1683,42.87,69,21,14.16,few clouds,RU,2022-05-02 00:52:46
69,Bluff,-46.6,168.3333,63.81,74,34,11.77,scattered clouds,NZ,2022-05-02 00:45:34
70,Yellowknife,62.456,-114.3525,45.12,49,0,12.66,clear sky,CA,2022-05-02 00:46:09
71,Matam,15.6175,-13.3303,87.8,27,0,4.61,clear sky,SN,2022-05-02 00:52:47
72,Hobart,-42.8794,147.3294,66.06,60,75,14.97,broken clouds,AU,2022-05-02 00:48:31
73,Waddan,29.1614,16.139,60.69,63,0,22.44,clear sky,LY,2022-05-02 00:52:48
74,Izhma,65.0083,53.9113,22.01,93,76,3.44,broken clouds,RU,2022-05-02 00:52:49
75,Mul,20.0667,79.6667,89.38,51,92,12.53,overcast clouds,IN,2022-05-02 00:52:49
76,Lengshuijiang,27.6881,111.4294,62.29,63,100,2.46,overcast clouds,CN,2022-05-02 00:52:50
77,Vilhena,-12.7406,-60.1458,74.07,69,98,0.45,overcast clouds,BR,2022-05-02 00:52:51
78,Nishihara,26.1842,127.7558,65.48,83,75,10.36,light rain,JP,2022-05-02 00:52:51
79,Shelburne,44.0787,-80.2041,47.59,91,100,7.16,overcast clouds,CA,2022-05-02 00:48:58
80,Leninskoye,41.7589,69.3864,71.04,50,100,3.29,overcast clouds,KZ,2022-05-02 00:52:52
81,Fort Nelson,58.8053,-122.7002,53.19,40,40,9.22,scattered clouds,CA,2022-05-02 00:50:54
82,Lakatoro,-16.0999,167.4164,84.29,67,100,1.81,overcast clouds,VU,2022-05-02 00:52:52
83,Abha,18.2164,42.5053,64.22,63,0,6.91,clear sky,SA,2022-05-02 00:51:27
84,Sawtell,-30.3833,153.1,71.62,68,75,10.36,broken clouds,AU,2022-05-02 00:52:53
85,Gat,31.61,34.7642,63.28,89,14,5.21,few clouds,IL,2022-05-02 00:52:53
86,Dikson,73.5069,80.5464,10.45,94,100,11.34,overcast clouds,RU,2022-05-02 00:41:23
87,Port Elizabeth,-33.918,25.5701,54.32,90,0,5.75,clear sky,ZA,2022-05-02 00:48:25
88,Airai,-8.9266,125.4092,72.23,49,68,5.37,broken clouds,TL,2022-05-02 00:52:54
89,Lagos,6.5833,3.75,80.92,90,100,0.63,light rain,NG,2022-05-02 00:50:03
90,Boa Vista,2.8197,-60.6733,82.38,57,0,5.75,clear sky,BR,2022-05-02 00:52:55
91,Mogok,22.9167,96.5,75.13,56,64,2.28,broken clouds,MM,2022-05-02 00:53:55
92,Burgeo,47.6167,-57.6152,37.15,90,100,12.01,overcast clouds,CA,2022-05-02 00:53:56
93,Butaritari,3.0707,172.7902,81.37,78,33,12.71,light rain,KI,2022-05-02 00:46:53
94,Bay Roberts,47.5999,-53.2648,44.35,89,100,1.99,overcast clouds,CA,2022-05-02 00:53:56
95,Theog,31.1167,77.35,57.79,42,0,5.48,clear sky,IN,2022-05-02 00:53:57
96,Bredasdorp,-34.5322,20.0403,54.63,94,52,3.62,broken clouds,ZA,2022-05-02 00:45:52
97,Namibe,-15.1961,12.1522,73.67,68,93,8.7,overcast clouds,AO,2022-05-02 00:47:09
98,Richards Bay,-28.783,32.0377,61.36,81,0,6.93,clear sky,ZA,2022-05-02 00:48:26
99,Costache Negri,45.7,27.7167,48.7,62,52,2.77,broken clouds,RO,2022-05-02 00:53:58
100,Opuwo,-18.0607,13.84,71.8,37,93,6.51,overcast clouds,NA,2022-05-02 00:53:59
101,Stornoway,58.2093,-6.3865,48.16,81,100,5.75,overcast clouds,GB,2022-05-02 00:48:19
102,Strezhevoy,60.7333,77.5889,31.86,78,100,3.36,overcast clouds,RU,2022-05-02 00:54:00
103,Shadrinsk,56.0852,63.6335,34.36,69,7,16.17,clear sky,RU,2022-05-02 00:54:00
104,Road Town,18.4167,-64.6167,78.84,94,20,9.22,light rain,VG,2022-05-02 00:53:24
105,New Norfolk,-42.7826,147.0587,65.7,45,100,8.21,overcast clouds,AU,2022-05-02 00:47:00
106,Creel,27.75,-107.6333,62.33,17,0,15.14,clear sky,MX,2022-05-02 00:54:01
107,Puerto Ayacucho,5.6639,-67.6236,75.9,88,70,3.36,broken clouds,VE,2022-05-02 00:54:01
108,Kapaa,22.0752,-159.319,85.98,80,75,18.41,broken clouds,US,2022-05-02 00:46:54
109,East London,-33.0153,27.9116,60.64,77,0,6.58,clear sky,ZA,2022-05-02 00:44:37
110,Buin,-33.7333,-70.75,64.06,58,81,3.15,broken clouds,CL,2022-05-02 00:54:02
111,Barrow,71.2906,-156.7887,19.42,86,100,14.97,overcast clouds,US,2022-05-02 00:52:49
112,Dubna,56.7333,37.1667,33.3,86,53,2.39,broken clouds,RU,2022-05-02 00:54:03
113,Guapiles,10.2159,-83.7866,83.21,96,100,2.13,overcast clouds,CR,2022-05-02 00:54:03
114,Coihaique,-45.5752,-72.0662,44.55,87,40,4.61,scattered clouds,CL,2022-05-02 00:45:36
115,Oranjemund,-28.55,16.4333,68.61,21,0,11.43,clear sky,NA,2022-05-02 00:54:04
116,Jamestown,42.097,-79.2353,55.02,93,100,13.8,overcast clouds,US,2022-05-02 00:48:34
117,Vaini,-21.2,-175.2,82.56,83,75,14.97,broken clouds,TO,2022-05-02 00:46:59
118,Ardakan,32.31,54.0175,64.42,58,4,7.49,clear sky,IR,2022-05-02 00:54:04
119,Sitka,57.0531,-135.33,42.69,93,100,5.06,light rain,US,2022-05-02 00:54:05
120,Ilulissat,69.2167,-51.1,21.22,63,9,0.0,clear sky,GL,2022-05-02 00:44:43
121,Bungoma,0.5635,34.5606,61.18,90,100,2.93,overcast clouds,KE,2022-05-02 00:54:06
122,Shingu,33.7333,135.9833,64.67,32,82,2.89,broken clouds,JP,2022-05-02 00:54:06
123,Katsuura,35.1333,140.3,58.6,59,100,9.98,overcast clouds,JP,2022-05-02 00:54:07
124,Deer Lake,49.1667,-57.4316,35.46,93,100,0.0,overcast clouds,CA,2022-05-02 00:54:07
125,Opelousas,30.5335,-92.0815,70.88,100,75,0.0,light intensity drizzle,US,2022-05-02 00:54:08
126,Pevek,69.7008,170.3133,19.85,70,100,8.21,overcast clouds,RU,2022-05-02 00:45:37
127,Morant Bay,17.8815,-76.4093,82.02,87,95,10.11,overcast clouds,JM,2022-05-02 00:54:08
128,Yook,13.2261,121.964,83.68,74,100,6.33,overcast clouds,PH,2022-05-02 00:54:08
129,Bolshaya Rechka,51.9503,104.7355,52.07,48,99,1.57,overcast clouds,RU,2022-05-02 00:54:09
130,Grand Gaube,-20.0064,57.6608,72.37,81,3,7.72,clear sky,MU,2022-05-02 00:54:10
131,Jardim,-21.4803,-56.1381,79.39,44,100,3.24,overcast clouds,BR,2022-05-02 00:54:10
132,Sao Felix Do Xingu,-6.6447,-51.995,75.99,83,53,2.42,broken clouds,BR,2022-05-02 00:54:11
133,Buala,-8.145,159.5921,84.76,70,98,4.38,light rain,SB,2022-05-02 00:54:12
134,Carnarvon,-24.8667,113.6333,69.87,52,0,10.36,clear sky,AU,2022-05-02 00:50:27
135,Ribeira Grande,38.5167,-28.7,62.24,83,11,3.06,few clouds,PT,2022-05-02 00:45:51
136,Ratnagiri,16.9833,73.3,80.29,83,5,3.76,clear sky,IN,2022-05-02 00:55:12
137,Bonavista,48.6499,-53.1147,36.99,96,100,3.04,overcast clouds,CA,2022-05-02 00:55:13
138,Pychas,56.5033,52.4409,32.43,71,68,8.5,broken clouds,RU,2022-05-02 00:55:14
139,Port Lincoln,-34.7333,135.8667,64.51,68,0,10.8,clear sky,AU,2022-05-02 00:55:14
140,Narsaq,60.9167,-46.05,39.45,80,100,1.72,overcast clouds,GL,2022-05-02 00:55:15
141,Taseyevo,57.2169,94.8978,38.88,83,100,13.6,overcast clouds,RU,2022-05-02 00:55:16
142,Mahebourg,-20.4081,57.7,72.25,94,20,1.14,few clouds,MU,2022-05-02 00:55:16
143,Huarmey,-10.0681,-78.1522,66.45,85,100,7.67,overcast clouds,PE,2022-05-02 00:55:16
144,Omsukchan,62.5333,155.8,29.01,89,52,7.94,broken clouds,RU,2022-05-02 00:55:17
145,Itoman,26.1247,127.6694,66.22,82,75,10.36,light rain,JP,2022-05-02 00:53:29
146,Bethel,41.3712,-73.414,57.42,56,100,4.0,overcast clouds,US,2022-05-02 00:55:18
147,Tulun,54.5611,100.5792,48.69,83,100,8.95,overcast clouds,RU,2022-05-02 00:55:18
148,Agadez,19.75,10.25,84.79,11,7,10.78,clear sky,NE,2022-05-02 00:55:19
149,Porto Torres,40.835,8.3972,50.18,89,9,4.54,clear sky,IT,2022-05-02 00:55:20
150,Souillac,-20.5167,57.5167,71.98,94,20,1.14,few clouds,MU,2022-05-02 00:55:20
151,Bulgan,48.8125,103.5347,60.15,21,28,3.94,scattered clouds,MN,2022-05-02 00:55:21
152,Cherskiy,68.75,161.3,29.48,86,48,10.71,scattered clouds,RU,2022-05-02 00:55:21
153,Norman Wells,65.282,-126.8329,53.64,37,40,20.71,scattered clouds,CA,2022-05-02 00:55:22
154,Sao Filipe,14.8961,-24.4956,73.04,73,0,7.7,clear sky,CV,2022-05-02 00:55:23
155,Saint George,37.1041,-113.5841,73.99,13,0,27.63,clear sky,US,2022-05-02 00:51:01
156,Nikolskoye,59.7035,30.7861,39.7,93,47,5.14,scattered clouds,RU,2022-05-02 00:55:23
157,Hamilton,39.1834,-84.5333,71.04,38,0,13.8,clear sky,US,2022-05-02 00:50:31
158,Chuy,-33.6971,-53.4616,50.56,83,0,6.96,clear sky,UY,2022-05-02 00:52:39
159,Asahikawa,43.7678,142.3703,49.21,76,75,6.91,broken clouds,JP,2022-05-02 00:55:24
160,Katobu,-4.9408,122.5276,85.14,64,7,7.72,clear sky,ID,2022-05-02 00:55:24
161,Tungor,53.3808,142.9564,33.98,96,100,7.54,overcast clouds,RU,2022-05-02 00:55:25
162,Batemans Bay,-35.7167,150.1833,62.1,48,1,3.27,clear sky,AU,2022-05-02 00:55:25
163,Maumere,-8.6199,122.2111,85.24,66,89,5.82,overcast clouds,ID,2022-05-02 00:55:26
164,Ayan,56.45,138.1667,30.63,91,96,5.3,overcast clouds,RU,2022-05-02 00:55:27
165,Talnakh,69.4865,88.3972,20.21,94,100,7.65,light snow,RU,2022-05-02 00:55:27
166,Marevo,57.3146,32.0804,33.98,79,12,4.65,few clouds,RU,2022-05-02 00:55:28
167,Esso,55.9333,158.7,33.31,83,99,4.03,overcast clouds,RU,2022-05-02 00:55:29
168,Krasnyy Oktyabr,56.1167,38.8833,36.59,93,82,3.87,broken clouds,RU,2022-05-02 00:55:29
169,Komsomolskiy,40.4272,71.7189,66.92,55,100,4.61,overcast clouds,UZ,2022-05-02 00:55:30
170,Taltal,-25.4,-70.4833,60.75,82,29,3.4,scattered clouds,CL,2022-05-02 00:55:31
171,Kula,38.5473,28.6498,52.99,69,99,3.13,overcast clouds,TR,2022-05-02 00:55:31
172,Tuktoyaktuk,69.4541,-133.0374,37.4,75,75,11.5,broken clouds,CA,2022-05-02 00:55:32
173,Esperance,-33.8667,121.9,58.84,58,14,8.63,few clouds,AU,2022-05-02 00:55:32
174,Coahuayana,18.7333,-103.6833,78.1,58,6,4.16,clear sky,MX,2022-05-02 00:55:33
175,Bathsheba,13.2167,-59.5167,79.48,75,100,14.76,overcast clouds,BB,2022-05-02 00:55:33
176,Abhar,36.1468,49.218,49.78,88,100,3.27,overcast clouds,IR,2022-05-02 00:55:34
177,Himare,40.1017,19.7447,61.09,79,100,3.29,overcast clouds,AL,2022-05-02 00:55:35
178,Scarborough,54.2797,-0.4044,52.65,86,100,3.53,overcast clouds,GB,2022-05-02 00:54:38
179,Gondanglegi,-7.7479,112.0132,81.95,80,89,4.36,overcast clouds,ID,2022-05-02 00:55:35
180,Muroto,33.2833,134.15,60.84,52,100,4.03,overcast clouds,JP,2022-05-02 00:56:36
181,Diapaga,12.0708,1.7889,87.91,30,99,5.61,overcast clouds,BF,2022-05-02 00:56:36
182,Gonen,40.1049,27.654,50.0,93,99,5.03,overcast clouds,TR,2022-05-02 00:56:37
183,Port Shepstone,-30.7414,30.455,62.46,77,0,7.7,clear sky,ZA,2022-05-02 00:56:38
184,Kavieng,-2.5744,150.7967,84.94,71,86,9.6,overcast clouds,PG,2022-05-02 00:56:38
185,Kodiak,57.79,-152.4072,39.31,88,98,12.37,overcast clouds,US,2022-05-02 00:56:39
186,Casas Grandes,30.3667,-107.95,75.97,9,0,20.36,clear sky,MX,2022-05-02 00:56:39
187,Lata,40.1629,-8.3327,57.07,81,97,6.51,overcast clouds,PT,2022-05-02 00:56:40
188,Mendi,-6.1761,143.6513,67.95,74,33,4.03,scattered clouds,PG,2022-05-02 00:56:41
189,Georgetown,5.4112,100.3354,82.33,93,20,6.91,few clouds,MY,2022-05-02 00:54:24
190,Lisakovsk,52.5369,62.4936,41.29,70,14,15.01,few clouds,KZ,2022-05-02 00:56:41
191,Nouakchott,18.0858,-15.9785,66.13,82,5,14.43,clear sky,MR,2022-05-02 00:56:42
192,Luanda,-8.8368,13.2343,78.8,89,75,2.3,broken clouds,AO,2022-05-02 00:55:44
193,Port Hedland,-20.3167,118.5667,78.85,57,99,10.36,overcast clouds,AU,2022-05-02 00:53:09
194,Lagoa,39.05,-27.9833,60.96,82,9,2.75,clear sky,PT,2022-05-02 00:56:44
195,Saint-Georges,12.0564,-61.7485,80.28,78,20,11.5,few clouds,GD,2022-05-02 00:53:46
196,Kropotkin,45.4375,40.5756,49.23,96,100,16.82,light rain,RU,2022-05-02 00:56:44
197,Acapulco,16.8634,-99.8901,80.98,60,36,5.19,scattered clouds,MX,2022-05-02 00:56:45
198,Flinders,-34.5833,150.8552,73.38,70,2,5.99,clear sky,AU,2022-05-02 00:56:45
199,Honavar,14.2833,74.45,83.52,68,94,5.82,overcast clouds,IN,2022-05-02 00:56:46
200,Aldan,58.6031,125.3894,28.98,80,100,15.61,overcast clouds,RU,2022-05-02 00:56:46
201,Comodoro Rivadavia,-45.8667,-67.5,48.06,87,20,3.44,few clouds,AR,2022-05-02 00:56:47
202,Balakhta,55.38,91.6,52.12,69,71,5.26,broken clouds,RU,2022-05-02 00:56:47
203,Ambon,-3.6954,128.1814,95.14,55,40,4.61,scattered clouds,ID,2022-05-02 00:56:48
204,Ust-Tsilma,65.441,52.1498,22.89,94,100,4.63,overcast clouds,RU,2022-05-02 00:56:48
205,Nemuro,43.3236,145.575,41.05,96,100,28.83,overcast clouds,JP,2022-05-02 00:56:49
206,Mahajanga,-15.7167,46.3167,75.22,73,20,3.44,few clouds,MG,2022-05-02 00:56:50
207,Kjollefjord,70.9457,27.3465,28.45,79,95,15.61,overcast clouds,NO,2022-05-02 00:56:50
208,Wanning,18.8003,110.3967,69.21,95,100,16.46,overcast clouds,CN,2022-05-02 00:56:51
209,Husavik,66.0449,-17.3389,27.36,75,100,8.41,overcast clouds,IS,2022-05-02 00:56:51
210,Bataipora,-22.2953,-53.2711,74.77,61,70,0.63,broken clouds,BR,2022-05-02 00:56:52
211,Touros,-5.1989,-35.4608,79.18,83,98,10.8,overcast clouds,BR,2022-05-02 00:55:25
212,Nalut,30.3333,10.85,54.97,68,0,7.58,clear sky,LY,2022-05-02 00:56:53
213,Safotu,-13.4513,-172.4018,82.11,79,95,5.64,light rain,WS,2022-05-02 00:56:53
214,Codrington,-38.2667,141.9667,66.97,56,100,12.62,overcast clouds,AU,2022-05-02 00:56:54
215,Cockburn Town,21.4612,-71.1419,75.16,83,75,8.05,broken clouds,TC,2022-05-02 00:52:04
216,Phuket,8.0,98.25,86.09,83,20,1.14,few clouds,TH,2022-05-02 00:56:04
217,Tuatapere,-46.1333,167.6833,61.14,67,7,7.4,clear sky,NZ,2022-05-02 00:56:54
218,Linxia,35.6003,103.2064,46.98,44,0,0.47,clear sky,CN,2022-05-02 00:56:55
219,Dargaville,-35.9333,173.8833,68.61,56,96,6.53,overcast clouds,NZ,2022-05-02 00:56:55
220,Hervey Bay,-25.2986,152.8535,71.02,89,100,5.99,light rain,AU,2022-05-02 00:56:56
221,Pullman,46.7313,-117.1796,59.23,66,100,4.0,overcast clouds,US,2022-05-02 00:55:40
222,Rondonopolis,-16.4708,-54.6356,74.17,50,6,3.04,clear sky,BR,2022-05-02 00:54:03
223,Marsh Harbour,26.5412,-77.0636,74.46,78,30,17.83,scattered clouds,BS,2022-05-02 00:56:57
224,Sabang,5.8933,95.3214,83.73,74,100,17.92,overcast clouds,ID,2022-05-02 00:56:57
225,Mehamn,71.0357,27.8492,25.47,78,96,13.96,overcast clouds,NO,2022-05-02 00:57:58
226,Ahipara,-35.1667,173.1667,68.58,60,100,6.49,overcast clouds,NZ,2022-05-02 00:57:59
227,San Patricio,28.017,-97.5169,81.18,81,97,15.5,overcast clouds,US,2022-05-02 00:57:59
228,La Cruz,23.9167,-106.9,76.82,58,62,4.74,broken clouds,MX,2022-05-02 00:58:00
229,Clyde River,70.4692,-68.5914,8.83,85,100,12.66,light snow,CA,2022-05-02 00:53:27
230,Prainha,-1.8,-53.48,74.53,96,100,4.38,overcast clouds,BR,2022-05-02 00:58:01
231,Robertsport,6.7533,-11.3686,81.93,80,100,5.79,moderate rain,LR,2022-05-02 00:58:01
232,Westport,41.1415,-73.3579,57.45,55,100,6.51,overcast clouds,US,2022-05-02 00:58:02
233,North Bend,43.4065,-124.2243,63.25,89,100,5.01,overcast clouds,US,2022-05-02 00:58:02
234,Amapa,1.0,-52.0,72.61,99,100,2.37,overcast clouds,BR,2022-05-02 00:58:03
235,Wang Saphung,17.301,101.7685,73.42,83,75,0.0,broken clouds,TH,2022-05-02 00:58:03
236,Vostok,46.4856,135.8833,41.47,58,100,4.05,overcast clouds,RU,2022-05-02 00:58:04
237,Huallanca,-9.8993,-76.9417,43.59,89,43,2.37,scattered clouds,PE,2022-05-02 00:58:06
238,Dwarka,22.2394,68.9678,83.25,78,0,14.54,clear sky,IN,2022-05-02 00:58:06
239,Valparaiso,-33.0393,-71.6273,56.48,72,0,2.3,clear sky,CL,2022-05-02 00:58:07
240,Oyama,36.3,139.8,60.58,49,25,3.51,scattered clouds,JP,2022-05-02 00:58:08
